Borden,09/26/2014,Ms. Judy Harris, Interim,806-756-4484,806-756-4419,cooley@yahoo.com,not listed,"P.O. Box 298, Gail, TX 79738-0298","140 E. Wilbourn St., Gail, TX 79738-0298",26 Feb 15, 10:43:53 PM
Bosque,10/08/2013,Ms. Marilee Greenwood,254-435-2304,254-435-6139,rilee.greenwood@bosquecad.com,http://www.bosquecad.com/,"P.O. Box 393, Meridian, TX 76665-0393","9293 Hwy. 6, Meridian, TX 76665-0393",26 Feb 15, 10:43:53 PM
Bowie,02/14/2013,Mr. Mike Brower,903-793-8936,903-792-8889,brower@bowieappraisal.org,not listed,"P.O. Box 6527, Texarkana, TX 75505-6527","122 Plaza W., Suite A, Texarkana, TX 75505-6527",26 Feb 15, 10:43:53 PM
Brazoria,04/24/2014,Ms. Cheryl Evans,979-849-7792,<strong>Fax:&nbsp;</strong>,bcad@brazoriacad.org,http://www.brazoriacad.org/,"500 N. Chenango St., Angleton, TX 77515-4650","500 N. Chenango St., Angleton, TX 77515-4650",26 Feb 15, 10:43:54 PM
Brazos,09/24/2013,Mr. Mark Price,979-774-4100,979-774-4196,price@brazoscad.org,http://www.brazoscad.org/,"1673 Briarcrest Dr. #A-101, Bryan, TX 77802-2749","1673 Briarcrest Dr. #A-101, Bryan, TX 77802-2749",26 Feb 15, 10:43:54 PM
Brewster,01/01/2013,Mr. Matt White,432-837-2558,432-837-3871,chiefappraiser@brewstercotad.org,http://www.brewstercotad.org/,"107 W. Avenue E #2, Alpine, TX 79830-4618","107 W. Avenue E #2, Alpine, TX 79830-4618",26 Feb 15, 10:43:54 PM
Briscoe,01/01/2013,Ms. Pat McWaters,806-823-2161,806-823-2161,patmcwaters@hotmail.com,not listed,"P.O. Box 728, Silverton, TX 79257-0728","415 Main St., Silverton, TX 79257-0728",26 Feb 15, 10:43:54 PM
Brooks,01/01/2013,Ms. Mary Lou Cantu,361-325-8122,361-325-5494,cantu@bcisd.esc2.net,http://www.brookscad.org,"P.O. Drawer A, Falfurrias, TX 78355-5500","221 S. Calixto Mora Ave., Falfurrias, TX 78355-5500",26 Feb 15, 10:43:54 PM
Brown,01/01/2013,Mr. Brett McKibben,325-643-5676,325-646-8918,bmckibben@brown-cad.org,http://www.brown-cad.org/,"403 Fisk Ave., Brownwood, TX 76801-2929","403 Fisk Ave., Brownwood, TX 76801-2929",26 Feb 15, 10:43:54 PM
Burleson,02/11/2015,Ms. Pat Moraw, Interim,979-567-2318,979-567-2368,pjmoraw@burlesonappraisal.com,http://www.burlesonappraisal.com/,"P.O. Box 1000, Caldwell, TX 77836-1000","111 Fawn St., Caldwell, TX 77836-1000",26 Feb 15, 10:43:54 PM
Burnet,02/04/2014,Mr. Stan Hemphill,512-756-8291,512-756-7873,burnetad@nctv.com,http://www.burnet-cad.org/,"P.O. Box 908, Burnet, TX 78611-0908","223 S. Pierce St., Burnet, TX 78611-0908",26 Feb 15, 10:43:54 PM
Caldwell,10/09/2014,Ms. Mary LaPoint,512-398-5550,512-398-5551,ryl@caldwellcad.org,http://www.caldwellcad.org/,"P.O. Box 900, Lockhart, TX 78644-0900","610 San Jacinto St., Lockhart, TX 78644-0900",26 Feb 15, 10:43:54 PM
Calhoun,02/11/2015,Mr. Jerry Daum,361-552-4560,361-552-4787,jdaum@calhouncad.org,http://www.calhouncad.org/,"P.O. Box 49, Port Lavaca, TX 77979-0049","426 W. Main St., Port Lavaca, TX 77979-0049",26 Feb 15, 10:43:54 PM
Callahan,10/17/2013,Mr. Don Jones,325-854-5865,325-854-5866,don.jones@callahancad.org,http://www.callahancad.org/,"132 W. 4th St., Baird, TX 79504-5314","132 W. 4th St., Baird, TX 79504-5314",26 Feb 15, 10:43:54 PM
Cameron,07/24/2014,Mr. Frutoso Gomez Jr.,956-399-9322,956-361-6097,fgomez@cameroncad.org,http://www.cameroncad.org/,"P.O. Box 1010, San Benito, TX 78586-1010","2021 Amistad Dr., San Benito, TX 78586-1010",26 Feb 15, 10:43:54 PM
Camp,01/01/2013,Ms. Jan Tinsley,903-856-6538,903-856-6544,j.tinsley@campcad.org,http://www.campcad.org/,"143 Quitman St., Pittsburg, TX 75686-1361","143 Quitman St., Pittsburg, TX 75686-1361",26 Feb 15, 10:43:55 PM
Carson,01/01/2013,Ms. Donita Davis,806-537-3569,806-537-5343,ddavis4@valornet.com,http://www.carsoncad.org,"P.O. Box 970, Panhandle, TX 79068-0970","102 Main St., Panhandle, TX 79068-0970",26 Feb 15, 10:43:55 PM
Cass,01/01/2013,Ms. Leann Lee,903-756-7545,903-756-3270,casscad@windstream.net,http://www.casscad.org/,"502 N. Main St., Linden, TX 75563-5218","502 N. Main St., Linden, TX 75563-5218",26 Feb 15, 10:43:55 PM
Castro,01/01/2013,Mr. Jerry Heller,806-647-5131,806-647-5132,castrocad@valornet.com,not listed,"204 S.E. 3rd St. (Rear), Dimmitt, TX 79027-2612","204 S.E. 3rd St. (Rear), Dimmitt, TX 79027-2612",26 Feb 15, 10:43:55 PM
Chambers,06/27/2013,Mr. Mitchell McCullough,409-267-3795,<strong>Fax:&nbsp;</strong>,nfo@chamberscad.org,http://www.chamberscad.org/,"P.O. Box 1520, Anahuac, TX 77514-1520","1222 S. Ross Sterling Ave., Anahuac, TX 77514-1520",26 Feb 15, 10:43:55 PM
Cherokee,01/01/2013,Mr. J.L. Flowers,903-683-2296,903-683-6271,nfo@cherokeecad.net,http://www.cherokeecad.com/,"P.O. Box 494, Rusk, TX 75785-0494","107 E. 6th St., Rusk, TX 75785-0494",26 Feb 15, 10:43:55 PM
Childress,01/01/2013,Ms. Terry Holley,940-937-6062,940-937-3386,childresscad@sbcglobal.net,not listed,"1710 Avenue F N.W., Childress, TX 79201-3756","1710 Avenue F N.W., Childress, TX 79201-3756",26 Feb 15, 10:43:55 PM
Clay,01/01/2013,Mr. Gerald Holland,940-538-4311,940-538-4725,claycad1@gmail.com,http://www.claycad.org/,"P.O. Box 108, Henrietta, TX 76365-0108","101 E. Omega St., Henrietta, TX 76365-0108",26 Feb 15, 10:43:55 PM
Cochran,08/27/2014,Mr. David Greener,806-266-5584,806-266-5737,dgccad@windstream.net,not listed,"109 S.E. First St., Morton, TX 79346-3101","109 S.E. First St., Morton, TX 79346-3101",26 Feb 15, 10:43:55 PM
Coke,01/01/2013,Ms. Gayle Sisemore,325-453-4528,325-453-4529,gayle.sisemore@co.coke.tx.us,not listed,"P.O. Box 2, Robert Lee, TX 76945-0002","Courthouse, 2nd Floor W., Robert Lee, TX 76945-0002",26 Feb 15, 10:43:55 PM
Coleman,01/01/2013,Mr. Bill W. Jones,325-625-4155,325-625-5134,billjones@web-access.net,http://www.txcountydata.com/,"P.O. Box 914, Coleman, TX 76834-0914","105 S. Commercial Ave., Coleman, TX 76834-0914",26 Feb 15, 10:43:55 PM
Collin,01/26/2015,Mr. Bo Daffin,469-742-9200,<br />,bo.daffin@cadcollin.org,http://www.collincad.org/,"250 Eldorado Pkwy., McKinney, TX 75069-8023","250 Eldorado Pkwy., McKinney, TX 75069-8023",26 Feb 15, 10:43:55 PM
Collingsworth,11/07/2013,Mr. Dwight Bowen,806-447-5172,806-447-2198,collingsworthcad@hotmail.com,not listed,"800 West Ave., Box 9, Wellington, TX 79095-3037","800 West Ave., Box 9, Wellington, TX 79095-3037",26 Feb 15, 10:43:55 PM
Colorado,01/01/2013,Mr. Bill H. Mitchell,979-732-8222,979-733-0390,coloradocountycad@sbcglobal.net,http://www.coloradocad.org/,"P.O. Box 10, Columbus, TX 78934-0010","106 Cardinal Lane, Columbus, TX 78934-0010",26 Feb 15, 10:43:56 PM
Comal,01/15/2014,Mr. Curtis Koehler,830-625-8597,830-625-8598,curtisk@co.comal.tx.us,http://www.comalad.org/,"900 S. Seguin Ave., New Braunfels, TX 78130-7838","900 S. Seguin Ave., New Braunfels, TX 78130-7838",26 Feb 15, 10:43:56 PM
Comanche,01/01/2013,Ms. JoAnn Hohertz,325-356-5253,325-356-1363,joannh@comanchecad.org,http://www.comanchecad.org,"P.O. Box 6, Comanche, TX 76442-0006","8 Huett Cir., Comanche, TX 76442-0006",26 Feb 15, 10:43:56 PM
Concho,01/01/2013,Mr. Scott Sutton,325-732-4389,325-732-4234,concho_cad@yahoo.com,not listed,"P.O. Box 68, Paint Rock, TX 76866-0068","121 S. Roberts Ave., Paint Rock, TX 76866-0068",26 Feb 15, 10:43:56 PM
Cooke,01/15/2014,Mr. Doug Smithson,940-665-7651,940-668-2587,doug_smithson@sbcglobal.net,http://www.cookecad.org/,"201 N. Dixon St., Gainesville, TX 76240-3974","201 N. Dixon St., Gainesville, TX 76240-3974",26 Feb 15, 10:43:56 PM
Coryell,01/15/2014,Mr. Mitch Fast,254-865-6593,254-865-1280,fast@coryellcad.org,http://www.coryellcad.org/,"705 E. Main St., Gatesville, TX 76528","705 E. Main St., Gatesville, TX 76528",26 Feb 15, 10:43:56 PM
Cottle,01/01/2013,Ms. Nakia Hargrave,806-492-3345,806-492-3107,cottlead@caprock-spur.com,not listed,"P.O. Box 459, Paducah, TX 79248-0459","County Courthouse, Paducah, TX 79248-0459",26 Feb 15, 10:43:56 PM
Crane,12/03/2013,Mr. Byron Bitner,432-558-1021,432-558-1027,bbitner@craneisd.com,http://www.cranecad.org,"511 W. 8th St., Crane, TX 79731-3036","511 W. 8th St., Crane, TX 79731-3036",26 Feb 15, 10:43:56 PM
Crockett,07/22/2013,Ms. Rhonda Shaw,325-392-2674,325-392-2906,rhonda.shaw@co.crockett.tx.us,not listed,"P.O. Drawer H, Ozona, TX 76943-2507","909 Avenue D, Ozona, TX 76943-2507",26 Feb 15, 10:43:56 PM
Crosby,01/01/2013,Mrs. Kathy Lowrie,806-675-2356,806-675-2838,crosbycad@valornet.com,not listed,"P.O. Box 505, Crosbyton, TX 79322-0505","109 W. Aspen St., Crosbyton, TX 79322-0505",26 Feb 15, 10:43:56 PM
Culberson,07/11/2013,Ms. Maricel G. Gonzalez,432-283-2977,432-283-0027,cgonzalez.ccad@ymail.com,http://www.culbersoncad.org,"P.O. Box 550, Van Horn, TX 79855-0550","1800 W. Broadway St., Suite 318, Van Horn, TX 79855-0550",26 Feb 15, 10:43:56 PM
Dallam,06/05/2013,Ms. Holly McCauley,806-249-4424,806-249-4124,dcad@xit.net,http://www.dallamcad.org/,"P.O. Box 579, Dalhart, TX 79022-0579","401 Denver Ave., Dalhart, TX 79022-0579",26 Feb 15, 10:43:57 PM
Dallas,02/04/2014,Mr. Kenneth Nolan,214-631-0520,<a href="mailto:customerservice@dcad.org">customerservice@dcad.org</a>,customerservice@dcad.org,http://www.dallascad.org/,"2949 N. Stemmons Freeway, Dallas, TX 75247-6195","2949 N. Stemmons Freeway, Dallas, TX 75247-6195",26 Feb 15, 10:43:57 PM
Dawson,01/01/2013,Mrs. Norma J. Brock,806-872-7060,806-872-2364,dcad1@windstream.net,http://www.dawsoncad.org/,"P.O. Box 797, Lamesa, TX 79331-0797","1806 Lubbock Hwy., Lamesa, TX 79331-0797",26 Feb 15, 10:43:57 PM
Deaf,01/01/2013,Mr. Danny Jones,806-364-0625,806-364-6895,dscad@wtrt.net,http://www.deafsmithcad.org/,"P.O. Box 2298, Hereford, TX 79045-2298","140 E. 3rd St., Hereford, TX 79045-2298",26 Feb 15, 10:43:57 PM
Delta,07/08/2014,Ms. Kim Gregory,903-395-4118,903-395-4455,chiefappraiser@delta-cad.org,http://www.delta-cad.org/,"P.O. Box 47, Cooper, TX 75432-0047","1280 W. Dallas Ave., Cooper, TX 75432-0047",26 Feb 15, 10:43:57 PM
Denton,02/11/2015,Mr. Rudy Durham,940-349-3800,940-349-3801,chiefappraiser@dentoncad.com,http://www.dentoncad.com/,"P.O. Box 2816, Denton, TX 76202-2816","3911 Morse St., Denton, TX 76202-2816",26 Feb 15, 10:43:57 PM
DeWitt,01/01/2013,Ms. Beverly Malone,361-275-5753,361-275-9227,dcadbev@sbcglobal.net,http://www.dewittcad.org/,"103 E. Bailey St., Cuero, TX 77954-2400","103 E. Bailey St., Cuero, TX 77954-2400",26 Feb 15, 10:43:57 PM
Dickens,01/01/2013,Ms. Patti Abbott,806-623-5258,806-623-5259,dcad08@caprock-spur.com,http://www.dickenscad.org/,"P.O. Box 180, Dickens, TX 79229-0180","509 Montgomery St., Dickens, TX 79229-0180",26 Feb 15, 10:43:57 PM
Dimmit,01/01/2013,Ms. Norma Carrillo,830-876-3420,830-876-5137,carrillo_dimmitcad@sbcglobal.net,http://www.dimmit-cad.org/,"404 W. Pena St., Carrizo Springs, TX 78834-3216","404 W. Pena St., Carrizo Springs, TX 78834-3216",26 Feb 15, 10:43:57 PM
Donley,01/01/2013,Ms. Paula Lowrie,806-874-2744,806-874-5048,paula.lowrie@donleycad.org,not listed,"P.O. Box 1220, Clarendon, TX 79226-1220","307 S. Sully St., Clarendon, TX 79226-1220",26 Feb 15, 10:43:57 PM
Duval,04/28/2014,Mr. Gary Zeitler, Interim,361-279-3305,361-279-2622,sherrieelizondo@duvalcad.org,http://www.duvalcad.org,"P.O. Box 809, San Diego, TX 78384-0809","100 W. Gravis St., San Diego, TX 78384-0809",26 Feb 15, 10:43:57 PM
Eastland,02/14/2013,Mr. Randy Clark,254-629-8597,254-631-0628,randy@eastlandcad.org,http://www.eastlandcad.org,"P.O. Box 914, Eastland, TX 76448-0914","102 N. Lamar St., Suite 200, Eastland, TX 76448-0914",26 Feb 15, 10:43:57 PM
Ector,01/15/2014,Ms. Anita Campbell,<strong>Phone:&nbsp;</strong>,<strong>Fax:&nbsp;</strong>,nita.campbell@ectorcad.org,http://www.ectorcad.org/,"1301 E. 8th St., Odessa, TX 79761-4703","1301 E. 8th St., Odessa, TX 79761-4703",26 Feb 15, 10:43:57 PM
Edwards,11/19/2014,Ms. Nelia NcNeal,830-683-4189,830-683-4193,chiefappraiser@swtexas.net,not listed,"P.O. Box 858, Rocksprings, TX 78880-0858","101 E. Main St., Rocksprings, TX 78880-0858",26 Feb 15, 10:43:58 PM
Ellis,08/16/2013,Ms. Kathy Rodrigue,972-937-3552,<strong>Fax:&nbsp;</strong>,ecad@elliscad.com,http://www.elliscad.org/,"P.O. Box 878, Waxahachie, TX 75165-0878","400 Ferris Ave., Waxahachie, TX 75165-0878",26 Feb 15, 10:43:58 PM
El,05/28/2014,Ms. Dinah Kilgore,915-780-2000,915-780-2130,dmin@epcad.org,http://www.epcad.org/,"5801 Trowbridge Dr., El Paso, TX 79925-3345","5801 Trowbridge Dr., El Paso, TX 79925-3345",26 Feb 15, 10:43:58 PM
Erath,01/18/2014,Mr. Jerry D. Lee,254-965-5434,254-965-5633,erathcad@our-town.com,http://www.isouthwestdata.com/,"1390 N. Harbin Dr., Stephenville, TX 76401-2026","1390 N. Harbin Dr., Stephenville, TX 76401-2026",26 Feb 15, 10:43:58 PM
Falls,09/02/2014,Mr. Allen W. McKinley,254-883-2543,254-883-6500,nfo@fallscad.iswdata.com,http://www.isouthwestdata.com,"403 Craik St., Marlin, TX 76661-2817","403 Craik St., Marlin, TX 76661-2817",26 Feb 15, 10:43:58 PM
Fannin,05/03/2013,Mr. Michael R. Jones, RPA, CCA,903-583-8701,903-583-8015,jones@fannincad.org,http://www.fannincad.org/,"831 W. State Hwy. 56, Bonham, TX 75418-8604","831 W. State Hwy. 56, Bonham, TX 75418-8604",26 Feb 15, 10:43:58 PM
Fayette,02/21/2013,Mr. Richard Moring,979-968-8383,979-968-8385,richard@fayettecadorg,http://www.fayettecad.org/,"P.O. Box 836, La Grange, TX 78945-0836","111 S. Vail St., La Grange, TX 78945-0836",26 Feb 15, 10:43:58 PM
Fisher,08/27/2013,Mrs. Twyla Butler, Interim,325-776-2733,325-776-2636,fishercad@sbcglobal.net,http://www.fishercad.org,"P.O. Box 516, Roby, TX 79543-0516","107 E. North 1st St., Roby, TX 79543-0516",26 Feb 15, 10:43:58 PM
Floyd,01/01/2013,Mr. Jim Finley,806-983-5256,806-983-6230,floydcad@sbcglobal.net,http://www.myswdata.com/,"P.O. Box 249, Floydada, TX 79235-0249","104 E. California St., Floydada, TX 79235-0249",26 Feb 15, 10:43:58 PM
Foard,01/01/2013,Ms. Jo Ann Vecera,940-684-1225,940-684-1676,foardapp@yahoo.com,not listed,"P.O. Box 419, Crowell, TX 79227-0419","200 N. Main St., Crowell, TX 79227-0419",26 Feb 15, 10:43:58 PM
Fort,11/19/2014,Mr. Glen Whitehead,281-344-8623,281-762-9666,glenwhitehead@fbcad.org,http://www.fbcad.org/,"2801 B.F. Terry Blvd., Rosenberg, TX 77471-5600","2801 B.F. Terry Blvd., Rosenberg, TX 77471-5600",26 Feb 15, 10:43:58 PM
Franklin,07/24/2014,Ms. Genea Burnaman,903-537-2286,903-537-2812,franklinchief@suddenlinkmail.com,http://www.franklincad.com/,"P.O. Box 720, Mount Vernon, TX 75457-0720","310 W. Main St., Mount Vernon, TX 75457-0720",26 Feb 15, 10:43:59 PM
Freestone,01/01/2013,Mr. Bud Black, RPA, RTA, CTA,903-389-5510,903-389-5955,general.info@freestonecad.org,http://www.freestonecad.org/,"218 N. Mount St., Fairfield, TX 75840-3144","218 N. Mount St., Fairfield, TX 75840-3144",26 Feb 15, 10:43:59 PM
Frio,01/01/2013,Mr. Luciano R. Gonzales Jr.,830-334-4163,830-334-5568,friocad@yahoo.com,http://www.friocad.org,"P.O. Box 1129, Pearsall, TX 78061-1129","815 S. Oak St., Pearsall, TX 78061-1129",26 Feb 15, 10:43:59 PM
Gaines,01/01/2013,Ms. Gayla Harridge,432-758-3263,<strong>Fax:&nbsp;</strong>,gainescad@sbcglobal.net,http://www.gainescad.org/,"P.O. Box 490, Seminole, TX 79360-0490","302 S.E. Avenue B, Seminole, TX 79360-0490",26 Feb 15, 10:43:59 PM
Galveston,02/11/2015,Mr. Tommy Watson,409-935-1980,<strong>Fax:&nbsp;</strong>,gcad@galvestoncad.org,http://www.galvestoncad.org/,"9850 Emmett F. Lowry Expwy, Suite A, Texas City, TX 77591","9850 Emmett F. Lowry Expwy, Suite A, Texas City, TX 77591",26 Feb 15, 10:43:59 PM
Garza,01/01/2013,Ms. Irene Fry,806-495-3518,806-495-2055,garzacad@poka.com,not listed,"P.O. Drawer F, Post, TX 79356-0290","124 E. Main St., Post, TX 79356-0290",26 Feb 15, 10:43:59 PM
Gillespie,01/01/2013,Mr. David Oehler, RPA,830-997-9807,830-990-0860,ffice@gillcad.org,http://www.gillespiecad.org/,"101 W. Main St., Unit 11, Fredericksburg, TX 78624-3700","101 W. Main St., Basement Ste. 101-A, Fredericksburg, TX 78624-3700",26 Feb 15, 10:43:59 PM
Glasscock,11/04/2014,Ms. Priscilla A. Ginnetti,432-354-2580,432-354-2354,glasscockcad@crcom.net,http://www.glasscockcad.org/,"P.O. Box 155, Garden City, TX 79739-0155","124 N. Main, Garden City, TX 79739-0155",26 Feb 15, 10:43:59 PM
Goliad,08/18/2014,Mr. Richard Miller,361-645-2492,361-645-3200,rmiller@goliadisd.org,http://goliadcad.org/,"P.O. Box 34, Goliad, TX 77963-0034","161 N. Welch St., Goliad, TX 77963-0034",26 Feb 15, 10:43:59 PM
Gonzales,01/01/2013,Mr. John Liford,830-672-2879,830-672-8345,gonzcad@gvec.net,http://www.gonzalescad.org/,"P.O. Box 867, Gonzales, TX 78629-0867","928 Saint Paul St., Gonzales, TX 78629-0867",26 Feb 15, 10:43:59 PM
Gray,07/11/2013,Mr. Tyson Paronto,806-665-0791,806-665-1213,yson.paronto@graycad.org,http://www.graycad.org/,"P.O. Box 836, Pampa, TX 79066-0836","815 N. Sumner St., Pampa, TX 79066-0836",26 Feb 15, 10:43:59 PM
Grayson,10/28/2013,Mr. Shawn D. Coker,903-893-9673,903-892-3835,webmaster@graysonappraisal.org,http://www.graysonappraisal.org/,"512 N. Travis St., Sherman, TX 75090","512 N. Travis St., Sherman, TX 75090",26 Feb 15, 10:44:00 PM
Gregg,01/01/2013,Mr. Thomas Hays,903-238-8823,903-238-8830,hays@gcad.org,http://www.gcad.org/,"4367 W. Loop 281, Longview, TX 75604-5550","4367 W. Loop 281, Longview, TX 75604-5550",26 Feb 15, 10:44:00 PM
Grimes,01/01/2013,Mr. Bill Sullivan,936-873-2163,936-873-2154,gcad@grimescad.org,http://www.grimescad.org/,"P.O. Box 489, Anderson, TX 77830-0489","360 Hill St., Anderson, TX 77830-0489",26 Feb 15, 10:44:00 PM
Guadalupe,08/16/2013,Mrs. Jamie Osborne,<strong>Phone:&nbsp;</strong>,<strong>Fax:&nbsp;</strong>,gadprotest@guadalupead.org,http://www.guadalupead.org/,"3000 N. Austin St., Seguin, TX 78155-7320","3000 N. Austin St., Seguin, TX 78155-7320",26 Feb 15, 10:44:00 PM
Hale,01/01/2013,Ms. Nikki Branscum,806-293-4226,806-293-1834,halecad1981@sbcglobal.net,http://www.halecad.org,"P.O. Box 29, Plainview, TX 79073-0029","302 W. 8th St., Plainview, TX 79073-0029",26 Feb 15, 10:44:00 PM
Hall,01/01/2013,Ms. Gina Chavira,806-259-2393,806-259-2384,hallcad@hotmail.com,http://www.hallcad.org,"512 W. Main St., Suite 14, Memphis, TX 79245-3300","512 W. Main St., Suite 14, Memphis, TX 79245-3300",26 Feb 15, 10:44:00 PM
Hamilton,01/18/2014,Mr. Doyle Roberts,254-386-8945,254-386-8947,doyleroberts@embarqmail.com,http://www.hamiltoncad.org/,"119 E. Henry St., Hamilton, TX 76531-1909","119 E. Henry St., Hamilton, TX 76531-1909",26 Feb 15, 10:44:00 PM
Hansford,01/01/2013,Ms. Sonya Shieldknight,806-659-5575,806-659-5109,hansfordcad@windstream.net,http://www.hansfordcad.org/,"709 W. Seventh Ave., Spearman, TX 79081-3407","709 W. Seventh Ave., Spearman, TX 79081-3407",26 Feb 15, 10:44:00 PM
Hardeman,01/01/2013,Ms. Jan Evans,940-663-2532,940-663-6490,jan.evans@qisd.net,not listed,"P.O. Box 388, Quanah, TX 79252-0388","405 S. Main St., Quanah, TX 79252-0388",26 Feb 15, 10:44:00 PM
Hardin,01/01/2013,Mr. Alex Stephens,409-246-2507,409-246-4714,hcad@gtbizclass.com,http://hardincountycad.com/,"P.O. Box 670, Kountze, TX 77625-0670","105 S. Pine St., Kountze, TX 77625-0670",26 Feb 15, 10:44:00 PM
Harris,10/06/2014,Mr. Sands Stiefer,713-812-5800,713-957-5210,help@hcad.org,http://www.hcad.org/,"P.O. Box 920975, Houston, TX 77292-0975","13013 Northwest Frwy., Houston, TX 77292-0975",26 Feb 15, 10:44:00 PM
Harrison,10/28/2013,Mr. Robert Lisman,903-935-1991,<br />,robertl@harrisoncad.net,http://www.isouthwestdata.com/client/webindex.aspx?dbkey=harrisoncad&time=2013731249056,"P.O. Box 818, Marshall, TX 75671-0818","601 S. Washington St., Marshall, TX 75671-0818",26 Feb 15, 10:44:00 PM
Hartley,01/26/2015,Ms. Patsy J. Lowry,806-365-4515,806-365-4582,hartleyappr@hartleycad.com,http://www.myswdata.com/,"P.O. Box 405, Hartley, TX 79044-0405","1011 4th St., Hartley, TX 79044-0405",26 Feb 15, 10:44:01 PM
Haskell,10/28/2013,Ms. Leah Robertson,940-864-3805,940-864-3075,robertson@haskellcad.com,http://www.haskellcad.com/,"P.O. Box 467, Haskell, TX 79521-0467","604 N. 1st St., Haskell, TX 79521-0467",26 Feb 15, 10:44:01 PM
Hays,10/06/2014,Mr. David G. Valle,<strong>Phone:&nbsp;</strong>,<strong>Fax:&nbsp;</strong>,dvalle@hayscad.com,http://www.hayscad.com/,"21001 N. IH 35, Kyle, TX 78640-4795","21001 N. IH 35, Kyle, TX 78640-4795",26 Feb 15, 10:44:01 PM
